"ZIP","NAME","Total","White","Black","Asian","Latinx","Other","White_key","Black_key","Asian_key","Latinx_key","Other_key","Population","Cases","Rate","Population_key","Cases_key","Rate_key"
"95404","Sonoma",40474,67.3914117705194,1.78139052231062,4.81296634876711,20.3982803775263,5.61595098087661,"67.39%","1.78%","4.81%","20.4%","5.62%",40424,80,197.9,"40,424","80","198"
"95441","Sonoma",2053,55.4310764734535,1.26643935703848,1.31514856307842,34.4861178762786,7.501217730151,"55.43%","1.27%","1.32%","34.49%","7.5%",-1,-1,106.6,"No Data","No Data","107"
"94956","Marin",1224,88.4803921568627,0,0,8.66013071895425,2.85947712418301,"88.48%","0%","0%","8.66%","2.86%",-1,-1,-1,"No Data","No Data","No Data"
"94513","Contra Costa",62991,54.1950437364068,6.39456430283691,10.1887571240336,21.9507548697433,7.27087996697941,"54.2%","6.39%","10.19%","21.95%","7.27%",-1,-1,-1,"No Data","No Data","No Data"
"95139","Santa Clara",7293,42.9315782256959,1.1517893870835,19.4981489099136,31.1394487865076,5.2790346907994,"42.93%","1.15%","19.5%","31.14%","5.28%",7293,75,1028," 7,293","75","1028"
"94158","San Francisco",7291,39.6653408311617,4.49869702372788,37.6628720340145,15.333973391853,2.8391167192429,"39.67%","4.5%","37.66%","15.33%","2.84%",7291,125,1714.44246331093," 7,291","125","1714"
"94089","Santa Clara",22313,28.0822838703895,2.33047998924394,43.804060413212,22.5518755882221,3.23130013893246,"28.08%","2.33%","43.8%","22.55%","3.23%",22313,241,1080,"22,313","241","1080"
"94575","Contra Costa",1170,51.4529914529914,4.61538461538462,9.82905982905983,22.1367521367521,11.965811965812,"51.45%","4.62%","9.83%","22.14%","11.97%",-1,-1,-1,"No Data","No Data","No Data"
"94720","Alameda",2971,32.2113766408617,1.91854594412656,47.5934028946483,13.5981151127566,4.67855940760687,"32.21%","1.92%","47.59%","13.6%","4.68%",1466,24,1637.10777626," 1,466","24","1637"
"95472","Sonoma",30762,83.3365840972629,0.84194785774657,1.86593849554645,9.44997074312463,4.50555880631949,"83.34%","0.84%","1.87%","9.45%","4.51%",28902,30,103.8,"28,902","30","104"
"95471","Sonoma",470,84.2553191489362,0,0,6.17021276595745,9.57446808510638,"84.26%","0%","0%","6.17%","9.57%",-1,-1,-1,"No Data","No Data","No Data"
"94550","Alameda",50500,67.9108910891089,1.53861386138614,9.57227722772277,16.409900990099,4.56831683168317,"67.91%","1.54%","9.57%","16.41%","4.57%",50668,574,1132.86492461,"50,668","574","1133"
"94132","San Francisco",31488,29.3064024390244,8.41590447154472,41.0696138211382,15.4249237804878,5.78315548780488,"29.31%","8.42%","41.07%","15.42%","5.78%",31488,295,936.864837398374,"31,488","295","937"
"94133","San Francisco",26527,39.2694236061371,0.870810871941795,50.2393787461831,6.9966449278094,2.62374184792853,"39.27%","0.87%","50.24%","7%","2.62%",26527,213,802.955479322954,"26,527","213","803"
"95421","Sonoma",1681,84.3545508625818,0,3.74776918500892,6.36525877453897,5.53242117787032,"84.35%","0%","3.75%","6.37%","5.53%",-1,-1,62.7,"No Data","No Data","63"
"94104","San Francisco",546,30.7692307692308,0,50.3663003663004,13.1868131868132,5.67765567765568,"30.77%","0%","50.37%","13.19%","5.68%",546,-1,-1,"   546","No Data","No Data"
"94111","San Francisco",3620,44.2265193370166,6.43646408839779,30.2209944751381,8.86740331491713,10.2486187845304,"44.23%","6.44%","30.22%","8.87%","10.25%",3620,26,718.232044198895," 3,620","26","718"
"95425","Sonoma",10586,64.3869261288494,0.859625921027773,3.71245040619686,27.7158511241262,3.32514641979974,"64.39%","0.86%","3.71%","27.72%","3.33%",11047,38,344,"11,047","38","344"
"94567","Napa",696,56.6091954022989,0,0,43.1034482758621,0.28735632183908,"56.61%","0%","0%","43.1%","0.29%",-1,-1,-1,"No Data","No Data","No Data"
"95439","Sonoma",774,38.8888888888889,0,1.03359173126615,53.8759689922481,6.2015503875969,"38.89%","0%","1.03%","53.88%","6.2%",-1,-1,943.4,"No Data","No Data","943"
"95053","Santa Clara",3678,51.9303969548668,3.67047308319739,20.1196302338227,16.9113648722132,7.36813485589995,"51.93%","3.67%","20.12%","16.91%","7.37%",3678,0,0," 3,678","0","0"
"95119","Santa Clara",10472,38.3880825057296,6.19747899159664,17.0263559969442,33.5275019098548,4.86058059587471,"38.39%","6.2%","17.03%","33.53%","4.86%",10472,108,1031,"10,472","108","1031"
"94571","Solano",9784,69.0719542109567,5.84627964022894,5.3965658217498,16.9358135731807,2.74938675388389,"69.07%","5.85%","5.4%","16.94%","2.75%",-1,-1,-1,"No Data","No Data","No Data"
"94019","San Mateo",20314,62.4544649010535,0.0984542679925175,6.20754159692823,28.9061730826031,2.33336615142266,"62.45%","0.1%","6.21%","28.91%","2.33%",-1,-1,-1,"No Data","No Data","No Data"
"94030","San Mateo",22710,34.2404227212682,0.700132100396301,47.7939233817701,11.9022457067371,5.36327608982827,"34.24%","0.7%","47.79%","11.9%","5.36%",-1,-1,-1,"No Data","No Data","No Data"
"94062","San Mateo",27757,72.4862196923299,0.925892567640595,8.05202291313903,14.0829340346579,4.45293079223259,"72.49%","0.93%","8.05%","14.08%","4.45%",-1,-1,-1,"No Data","No Data","No Data"
"94086","Santa Clara",49630,30.5661898045537,1.59379407616361,45.0110820068507,18.2691920209551,4.55974209147693,"30.57%","1.59%","45.01%","18.27%","4.56%",49630,467,941,"49,630","467","941"
"94110","San Francisco",74161,43.7264869675436,3.31710737449603,14.1327652000378,33.8398888903871,4.9837515675355,"43.73%","3.32%","14.13%","33.84%","4.98%",74161,2012,2713.01627540082,"74,161","2012","2713"
"94516","Contra Costa",148,77.027027027027,0,0,8.78378378378378,14.1891891891892,"77.03%","0%","0%","8.78%","14.19%",-1,-1,-1,"No Data","No Data","No Data"
"95476","Sonoma",36792,65.364753207219,0.557186344857578,2.28582300500109,27.1037181996086,4.68851924331376,"65.36%","0.56%","2.29%","27.1%","4.69%",36488,202,553.6,"36,488","202","554"
"94709","Alameda",11740,57.7001703577513,1.78023850085179,25.4855195911414,9.24190800681431,5.79216354344123,"57.7%","1.78%","25.49%","9.24%","5.79%",11734,47,400.54542356,"11,734","47","401"
"95113","Santa Clara",1939,49.1490458999484,9.90201134605467,30.5827746260959,8.56111397627643,1.80505415162455,"49.15%","9.9%","30.58%","8.56%","1.81%",1939,70,3610," 1,939","70","3610"
"94115","San Francisco",35004,52.7625414238373,9.4703462461433,22.1317563707005,8.53331047880242,7.10204548051651,"52.76%","9.47%","22.13%","8.53%","7.1%",35004,575,1642.66940921038,"35,004","575","1643"
"94117","San Francisco",44239,67.7298311444653,4.76502633422998,11.4310902145166,10.7800809240715,5.29397138271661,"67.73%","4.77%","11.43%","10.78%","5.29%",44239,370,836.366102307918,"44,239","370","836"
"94108","San Francisco",14550,31.3470790378007,2.38487972508591,55.9037800687285,6.64604810996564,3.71821305841924,"31.35%","2.38%","55.9%","6.65%","3.72%",14550,114,783.505154639175,"14,550","114","784"
"94972","Marin",23,100,0,0,0,0,"100%","0%","0%","0%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94801","Contra Costa",29958,12.2037519193538,14.3000200280393,9.5800787769544,61.0087455771413,2.90740369851125,"12.2%","14.3%","9.58%","61.01%","2.91%",-1,-1,-1,"No Data","No Data","No Data"
"94564","Contra Costa",19200,33.5364583333333,9.83854166666667,26.59375,21.8489583333333,8.18229166666667,"33.54%","9.84%","26.59%","21.85%","8.18%",-1,-1,-1,"No Data","No Data","No Data"
"94038","San Mateo",3687,52.8342826145918,0.406834825061025,2.44100895036615,37.564415513968,6.75345809601302,"52.83%","0.41%","2.44%","37.56%","6.75%",-1,-1,-1,"No Data","No Data","No Data"
"94061","San Mateo",39624,48.4630526953362,1.22652937613568,9.2948717948718,36.6040783363618,4.41146779729457,"48.46%","1.23%","9.29%","36.6%","4.41%",-1,-1,-1,"No Data","No Data","No Data"
"94590","Solano",37377,25.7939374481633,25.4568317414453,11.8227787141825,30.623110469005,6.3033416272039,"25.79%","25.46%","11.82%","30.62%","6.3%",-1,-1,-1,"No Data","No Data","No Data"
"95013","Santa Clara",77,42.8571428571429,0,0,57.1428571428571,0,"42.86%","0%","0%","57.14%","0%",77,0,0,"    77","0","0"
"94025","San Mateo",42788,60.2014583528092,3.6972983079368,13.4336729924278,16.406469103487,6.26110124333925,"60.2%","3.7%","13.43%","16.41%","6.26%",-1,-1,-1,"No Data","No Data","No Data"
"94706","Alameda",21040,46.7633079847909,2.32414448669202,28.9876425855513,12.7661596958175,9.15874524714829,"46.76%","2.32%","28.99%","12.77%","9.16%",20331,87,427.9179578,"20,331","87","428"
"94850","Contra Costa",0,NA,NA,NA,NA,NA,"NaN%","NaN%","NaN%","NaN%","NaN%",-1,-1,-1,"No Data","No Data","No Data"
"94933","Marin",671,80.9239940387481,0.447093889716841,0,18.628912071535,0,"80.92%","0.45%","0%","18.63%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94952","Sonoma",36184,73.5103913331859,0.953460092858722,1.97048419190803,19.2294936988724,4.33617068317488,"73.51%","0.95%","1.97%","19.23%","4.34%",33114,146,440.9,"33,114","146","441"
"94954","Sonoma",38414,67.545686468475,0.822616754308325,6.03425834331233,20.9142500130161,4.68318842088822,"67.55%","0.82%","6.03%","20.91%","4.68%",39261,102,259.8,"39,261","102","260"
"94973","Marin",1342,94.5603576751118,0,0,1.93740685543964,3.50223546944858,"94.56%","0%","0%","1.94%","3.5%",-1,-1,-1,"No Data","No Data","No Data"
"95020","Santa Clara",63852,31.5965044164631,1.11507861930715,8.43356511933847,56.4038714527344,2.45098039215686,"31.6%","1.12%","8.43%","56.4%","2.45%",63852,2148,3364,"63,852","2148","3364"
"95037","Santa Clara",51652,49.7599318516224,1.63982033609541,11.1960814682878,33.0248586695578,4.37930767443661,"49.76%","1.64%","11.2%","33.02%","4.38%",51652,874,1692,"51,652","874","1692"
"95117","Santa Clara",29592,37.3073803730738,5.57245201405785,23.8915923222493,28.4536361178697,4.77493917274939,"37.31%","5.57%","23.89%","28.45%","4.77%",29592,670,2264,"29,592","670","2264"
"95140","Santa Clara",115,71.304347826087,11.304347826087,0,17.3913043478261,0,"71.3%","11.3%","0%","17.39%","0%",115,0,0,"   115","0","0"
"95430","Sonoma",7,100,0,0,0,0,"100%","0%","0%","0%","0%",-1,-1,-1,"No Data","No Data","No Data"
"95431","Sonoma",196,82.1428571428571,5.61224489795918,5.10204081632653,3.57142857142857,3.57142857142857,"82.14%","5.61%","5.1%","3.57%","3.57%",-1,-1,-1,"No Data","No Data","No Data"
"94122","San Francisco",62131,37.5786644348232,1.78010976807069,45.7130900838551,7.68215544575172,7.24598026749932,"37.58%","1.78%","45.71%","7.68%","7.25%",62131,353,568.154383480066,"62,131","353","568"
"94130","San Francisco",3064,26.8929503916449,19.7454308093995,11.5861618798956,29.11227154047,12.6631853785901,"26.89%","19.75%","11.59%","29.11%","12.66%",3064,47,1533.94255874674," 3,064","47","1534"
"94401","San Mateo",35414,32.2556051279155,2.97340035014401,18.5745750268255,36.4347433218501,9.76167617326481,"32.26%","2.97%","18.57%","36.43%","9.76%",-1,-1,-1,"No Data","No Data","No Data"
"94502","Alameda",14619,36.2199876872563,3.48861071208701,43.4913468773514,9.32348313838156,7.47657158492373,"36.22%","3.49%","43.49%","9.32%","7.48%",14061,77,547.61396771,"14,061","77","548"
"94508","Napa",4298,53.6528617961843,6.7240577012564,12.6105165193113,23.2201023731968,3.79246161005119,"53.65%","6.72%","12.61%","23.22%","3.79%",-1,-1,-1,"No Data","No Data","No Data"
"94525","Contra Costa",3094,62.4111182934712,3.16742081447964,3.03813833225598,22.4628312863607,8.92049127343245,"62.41%","3.17%","3.04%","22.46%","8.92%",-1,-1,-1,"No Data","No Data","No Data"
"94534","Solano",38444,44.9198834668609,8.56310477577776,21.7355113931953,16.8660909374675,7.91540942669857,"44.92%","8.56%","21.74%","16.87%","7.92%",-1,-1,-1,"No Data","No Data","No Data"
"95444","Sonoma",715,70.6293706293706,0,0,19.3006993006993,10.0699300699301,"70.63%","0%","0%","19.3%","10.07%",-1,-1,531.9,"No Data","No Data","532"
"95486","Sonoma",73,68.4931506849315,0,0,31.5068493150685,0,"68.49%","0%","0%","31.51%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94548","Contra Costa",501,79.8403193612775,0,0,20.1596806387226,0,"79.84%","0%","0%","20.16%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94558","Napa",69142,57.8577420381244,0.724595759451563,3.3452894044141,35.3460993318099,2.72627346619999,"57.86%","0.72%","3.35%","35.35%","2.73%",-1,-1,-1,"No Data","No Data","No Data"
"94568","Alameda",54420,37.0066152149945,3.83314957736126,42.0709298052187,10.9371554575524,6.15214994487321,"37.01%","3.83%","42.07%","10.94%","6.15%",68661,633,921.92074103,"68,661","633","922"
"94573","Napa",31,100,0,0,0,0,"100%","0%","0%","0%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94574","Napa",8677,66.3362913449349,1.11789789097614,1.83243056355883,28.984672121701,1.72870807882909,"66.34%","1.12%","1.83%","28.98%","1.73%",-1,-1,-1,"No Data","No Data","No Data"
"94585","Solano",29599,29.1530119260786,19.9770262508869,19.7439102672388,24.6798878340484,6.44616372174736,"29.15%","19.98%","19.74%","24.68%","6.45%",-1,-1,-1,"No Data","No Data","No Data"
"94592","Solano",1087,33.670653173873,10.4875804967801,38.0864765409384,9.56761729530819,8.18767249310028,"33.67%","10.49%","38.09%","9.57%","8.19%",-1,-1,-1,"No Data","No Data","No Data"
"94606","Alameda",38303,20.3822154922591,17.8210584027361,35.9867373312795,20.4187661540871,5.39122261963815,"20.38%","17.82%","35.99%","20.42%","5.39%",37481,812,2166.4309917,"37,481","812","2166"
"94613","Alameda",861,34.0301974448316,4.41347270615563,23.3449477351916,29.732868757259,8.47851335656214,"34.03%","4.41%","23.34%","29.73%","8.48%",0,0,0,"     0","0","0"
"94561","Contra Costa",41911,43.9860657106726,7.73066736656248,6.16544582567822,36.2721004032354,5.84572069385126,"43.99%","7.73%","6.17%","36.27%","5.85%",-1,-1,-1,"No Data","No Data","No Data"
"94105","San Francisco",9155,41.7804478427089,0.415073730202075,49.5030038230475,5.26488257782632,3.03659202621518,"41.78%","0.42%","49.5%","5.26%","3.04%",9155,140,1529.21900600765," 9,155","140","1529"
"95448","Sonoma",17482,67.486557602105,0.183045418144377,1.43576249856996,27.5540556000458,3.34057888113488,"67.49%","0.18%","1.44%","27.55%","3.34%",17891,56,313,"17,891","56","313"
"94002","San Mateo",27202,55.0878611866774,0.915373869568414,27.2737298728035,10.9330196309095,5.79001544004117,"55.09%","0.92%","27.27%","10.93%","5.79%",-1,-1,-1,"No Data","No Data","No Data"
"94949","Marin",17452,62.71487508595,3.7531515012606,10.0446940178776,14.2677057070823,9.21957368782948,"62.71%","3.75%","10.04%","14.27%","9.22%",-1,-1,-1,"No Data","No Data","No Data"
"94015","San Mateo",64887,16.5102408802996,2.91892058501703,58.7344152141415,17.5027355248355,4.33368779570638,"16.51%","2.92%","58.73%","17.5%","4.33%",-1,-1,-1,"No Data","No Data","No Data"
"94928","Sonoma",44103,58.9869169897739,2.37852300297032,5.58238668571299,28.6511121692402,4.40106115230256,"58.99%","2.38%","5.58%","28.65%","4.4%",45630,118,258.6,"45,630","118","259"
"94114","San Francisco",34754,70.1760948380043,2.24722334119814,12.9884329861311,8.81912873338321,5.76912010128331,"70.18%","2.25%","12.99%","8.82%","5.77%",34754,298,857.45525694884,"34,754","298","857"
"94553","Contra Costa",49699,62.4157427714843,3.00609670214692,9.03438700979899,20.2820982313527,5.26167528521701,"62.42%","3.01%","9.03%","20.28%","5.26%",-1,-1,-1,"No Data","No Data","No Data"
"95130","Santa Clara",14863,43.625109331898,2.4624907488394,34.2326582789477,15.2660970194443,4.41364462087062,"43.63%","2.46%","34.23%","15.27%","4.41%",14863,117,787,"14,863","117","787"
"94503","Napa",20306,22.9735053678716,7.48547227420467,35.2949867034374,27.750418595489,6.49561705899734,"22.97%","7.49%","35.29%","27.75%","6.5%",-1,-1,-1,"No Data","No Data","No Data"
"95391","Alameda",16562,27.1042144668518,8.93008090810289,41.1725637000362,15.2095157589663,7.58362516604275,"27.1%","8.93%","41.17%","15.21%","7.58%",0,0,0,"     0","0","0"
"94596","Contra Costa",20822,68.1490730957641,1.8345980213236,12.7413312842186,10.7098261454231,6.56517145327058,"68.15%","1.83%","12.74%","10.71%","6.57%",-1,-1,-1,"No Data","No Data","No Data"
"95401","Sonoma",38986,51.6595701020879,1.3030318575899,4.16559790694095,38.5471707792541,4.32462935412712,"51.66%","1.3%","4.17%","38.55%","4.32%",37077,136,366.8,"37,077","136","367"
"95046","Santa Clara",6025,41.5269709543568,0.962655601659751,3.46887966804979,50.5892116182573,3.45228215767635,"41.53%","0.96%","3.47%","50.59%","3.45%",6025,149,2473," 6,025","149","2473"
"94134","San Francisco",42471,10.5460196369287,7.51100751100751,56.5750747568929,22.0950766405312,3.27282145463964,"10.55%","7.51%","56.58%","22.1%","3.27%",42471,1151,2710.08452826635,"42,471","1151","2710"
"95407","Sonoma",42483,30.6404914907139,2.63399477438034,6.18364993056046,56.0341783772332,4.50768542711202,"30.64%","2.63%","6.18%","56.03%","4.51%",39118,236,603.3,"39,118","236","603"
"95625","Solano",67,74.6268656716418,0,0,25.3731343283582,0,"74.63%","0%","0%","25.37%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94576","Napa",98,83.6734693877551,0,14.2857142857143,2.04081632653061,0,"83.67%","0%","14.29%","2.04%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94963","Marin",498,96.7871485943775,0,0,3.21285140562249,0,"96.79%","0%","0%","3.21%","0%",-1,-1,-1,"No Data","No Data","No Data"
"95128","Santa Clara",37665,37.8043276251162,4.42585955130758,15.2661622195672,37.3901500066375,5.11350059737157,"37.8%","4.43%","15.27%","37.39%","5.11%",37665,555,1474,"37,665","555","1474"
"94512","Solano",16,100,0,0,0,0,"100%","0%","0%","0%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94704","Alameda",29190,39.4347379239466,5.63549160671463,34.6111682082905,13.1517643028434,7.16683795820486,"39.43%","5.64%","34.61%","13.15%","7.17%",30116,254,843.40549874,"30,116","254","843"
"95122","Santa Clara",57780,3.07892004153686,1.28418137763932,34.8009691934926,57.8521979923849,2.98373139494635,"3.08%","1.28%","34.8%","57.85%","2.98%",57780,2292,3967,"57,780","2292","3967"
"94027","San Mateo",7444,69.1832348199893,0.832885545405696,21.4535196131112,4.6749059645352,3.85545405695862,"69.18%","0.83%","21.45%","4.67%","3.86%",-1,-1,-1,"No Data","No Data","No Data"
"95129","Santa Clara",39828,22.7277292357136,1.2704629908607,67.5554886009842,5.48609018780757,2.96022898463393,"22.73%","1.27%","67.56%","5.49%","2.96%",39828,212,532,"39,828","212","532"
"94538","Alameda",68111,19.8396734741819,3.88336685704218,51.9666426862034,19.1320051093069,5.1783118732657,"19.84%","3.88%","51.97%","19.13%","5.18%",66369,782,1178.26093508,"66,369","782","1178"
